,tweets;;
"0,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"1,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"2,""RT @Lauren66793666: #OTD 1996 – Pandro S. Berman, Aged 91, US filmmaker. (b. 1905)";;
;;
"Picture of Dorian Gray * The Three Musketeers * The Bri…""";;
"3,""The Picture of Dorian Gray.";;
"@ambageni https://t.co/fVoM8APMmL""";;
"4,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"5,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
"6,""RT @LiteratureFace: """"What the invention of oil-painting was to the Venetians, the face of Antinous was to late Greek sculpture, and the fac…""";;
"7,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
"8,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"9,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"10,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
11,Chiltern Classic series is so beautiful 😍 want The Picture of Dorian Gray but it's not available in the store https://t.co/cwRmdiqi1P;;
"12,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"13,""@ryanthestan picture of dorian gray is really good but if you don’t want to read a full novel, i suggest starting out with some of his plays (the importance of being ernest &amp";" a woman of no importance were a couple of my favs)""";
"14,""RT @fireplacewitch: i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
"so yeah follow me…""";;
"15,""i want new moots! im cool with anyone (booktwt, filmtwt, arttwt, studytwt, etc) just be 18+ and nice";;
;;
so yeah follow me if u like;;
#NOM?;;
#NOM?;;
#NOM?;;
#NOM?;;
#NOM?;;
#NOM?;;
;;
"RT/LIKE PLEASE 🥰""";;
"16,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
"17,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
"18,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
19,currently manifesting a picture of dorian gray situation where each time I stub my toe or slam my elbow into something the stanley cup takes my damage. i want it to have the texture of a thimble;;
20,I read The Picture of Dorian Gray and attached myself to Lord Henry Wotton at too impressionable an age and now I will literally do anything just for the experience;;
21,@gatitomars the picture of dorian gray and the secret history (i have successfully gotten through like one page in both of those bc im lazy) i can rec some comics/ web comics too if you want-;;
"22,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
"23,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
"24,""""""What the invention of oil-painting was to the Venetians, the face of Antinous was to late Greek sculpture, and the face of Dorian Gray will some day be to me."""" (Oscar Wilde, The Picture of Dorian Gray 1890)""";;
"25,""estou lendo:";;
- 1984, do george orwell;;
"- the picture of dorian gray, do oscar wilde""";;
26,I think getting 5 volumes of black butler and the picture of dorian gray in a single library trip is probably a symptom of some previously undescribed mental illness;;
"27,""Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I took a deep breath and listened to the old brag of my heart";" I am, I am, I am.”—Sylvia Plath, The Bell Jar https://t.co/yqlZmbqcmA #books #writing #writerslife""";
28,@literarybase The Picture of Dorian Gray.;;
"29,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
"30,""RT @bookhooe: btw helloo i'm new to #booktwt &amp"; i'm looking for some moots!!;
favs:;;
#NOM?;;
"- aristole and dante discover the secrets of t…""";;
"31,""#OTD 1996 – Pandro S. Berman, Aged 91, US filmmaker. (b. 1905)";;
;;
"Picture of Dorian Gray * The Three Musketeers * The Bribe * Father of Bride * Ivanhoe * Knights of the Round Table * Blackboard Jungle * Bhowani Junction * BUtterfield 8 * Sweet Bird of Youth * A Patch of Blue (1965) https://t.co/1XVu44L9B2""";;
32,—— cr: the picture of dorian gray ! https://t.co/Ef7AdhbIny;;
"33,""RT @Louise_Salome_: Some things are more precious ";;
 because they don't last long.;;
You will always be fond of me. ;;
"I represent to you all th…""";;
"34,""@bookishcrows i think it’s going to be the picture of Dorian gray, wbu ?""";;
35,@MrRaceBannon Like the picture of Dorian Gray for the Cancervatives.;;
"36,""RT @atlurbanist: The first image is a 1927 map showing the footprint of buildings before parking dominated (source: Emory Library). ";;
;;
"To me…""";;
37,i enjoy the picture of dorian gray way too much.;;
38,@wylanloml super basic but the picture of dorian gray;;
"39,""so cliche but read the bell jar, kafka by the shore, a picture of dorian gray, they should watch trainspotting, sofia coppola’s movies, McQueen and bojack horseman and listen to slowdive, around the fur, geidi primes, disintegration, crystal castles https://t.co/a7F796SboE""";;
40,i did not enjoy the ending of the picture of dorian gray by oscar wilde. i turned the page expecting there to be more but then it was just the acknowledgments. so upsetting–– was also read in the middle of a cafe in the upper east side nyc while it was pouring outside and I had-;;
41,the picture of dorian gray will forever be a top tier book assigned from school;;
"42,""💡'Some things are more precious because they don't last long.' - Oscar Wilde, The Picture of Dorian Gray.💡 This is exactly how we feel about our handmade prcious cupcakes and this cheesecake-inspired Black Bottom treat! Available in-store and online at https://t.co/y6nIwCw30I. https://t.co/2kzARX24bT""";;
"43,""don’t break the chain!";;
;;
#NOM?;;
#NOM?;;
- recent 7th pic (the picture of dorian gray quote);;
;;
"wont @ anyone but whoever sees this n wants 2do it ! https://t.co/q97ExwOKbz https://t.co/EV2DXl6KD9""";;
"44,""RT @atlurbanist: The first image is a 1927 map showing the footprint of buildings before parking dominated (source: Emory Library). ";;
;;
"To me…""";;
"45,""RT @atlurbanist: The first image is a 1927 map showing the footprint of buildings before parking dominated (source: Emory Library). ";;
;;
"To me…""";;
46,RT @nsubhedar: @nazuzuwin @RealBarabbas @DonaldJTrumpJr He is progressing along like the painting in the Picture of Dorian Gray.;;
"47,""@___omj The Picture of Dorian Gray, 1945";;
"https://t.co/3SiNxW6f9A https://t.co/UWgsiBYLzW""";;
"48,""RT @BooksStoryline: Ten great lines from novels. “The curves of your lips rewrite history.” —Oscar Wilde, The Picture of Dorian Gray. “I to…""";;
49,@nazuzuwin @RealBarabbas @DonaldJTrumpJr He is progressing along like the painting in the Picture of Dorian Gray.;;
