,tweets;;;;;;;
0,i’m in a lake of tears cause i finished the song of achilles 😐;;;;;;;
"1,""@stanmenfess the midnight library by matt haig";;;;;;;
red,white &amp; royal blue by casey ;;;;;;
almond by won pyung sohn;;;;;;;
they both die at the end by adam silvera;;;;;;;
the song of achilles by madeline;;;;;;;
serial bumi by tere liye;;;;;;;
...;;;;;;;
"dll""";;;;;;;
2,@lighthaos the song of achilles hits so hard!!!!!😭😭😭;;;;;;;
3,okay hold up since i’m sick today i will read the song of achilles all over again 🧍;;;;;;;
4,@LibrarylinM The Song Of Achilles or The Kite Runner;;;;;;;
5,yeay i finished reading the song of achilles!;;;;;;;
6,i cant stop from reliving The Song of Achilles with Wilhelm and Simon AAAAAAAAAA ❤️ #youngroyals;;;;;;;
"7,""@withaph @LauraAtLaura No haha--agreed that Hades' character development/plot was overrated";;;;;;;
;;;;;;;
"Tweet was about the book Song of Achilles""";;;;;;;
"8,""‘the song of achilles’ by madeline miller";;;;;;;
★ ★ ★ ★ ☆;;;;;;;
“i could recognize him by touch alone, by smell;" I would know him blind, by the way his breaths came and his feet struck the earth. i would know him in death, at the end of the world”""";;;;;;
"9,""@akinorikonohoe i just finished the song of Achilles i am very much not okay";;;;;;;
;;;;;;;
"how're you doing emma!""";;;;;;;
10,lrt: just reminded me that i should restart the song of achilles (because i forgot which part i was) and actually read the invisible life of addie la rue (but they said it's painful so i'm scared).;;;;;;;
11,Me rn with The Song of Achilles https://t.co/AOKR8YK9io;;;;;;;
12,The Song of Achilles 🥺🥺;;;;;;;
13,@jjjjjeongguk the song of achilles amiga vc iria amar esse;;;;;;;
"14,""ebay product Introduction   2021-07-12 11:00";;;;;;;
category:Books;;;;;;;
;;;;;;;
The Song of Achilles - by Madeline Miller (Paperback) **NEW**;;;;;;;
price(USD):9.89;;;;;;;
;;;;;;;
link;;;;;;;
" https://t.co/8zw6jhmZNU""";;;;;;;
"15,""So far:";;;;;;;
The Penelopiad - Margaret Atwood;;;;;;;
Mythos: The Greek Myths -Stephen Fry;;;;;;;
Troy: Our Greatest Story - Stephen Fry;;;;;;;
Heroes: The myths of the Ancient Greek heroes - Stephen Fry;;;;;;;
The Song of Achilles - Madeline Miller;;;;;;;
Circe - Madeline Miller;;;;;;;
"A Thousand Ships - Natalie Haynes""";;;;;;;
16,I thought I was going to have the book the song of achilles tomorrow but it's they both d1e at the end 🧍🏻‍♀️;;;;;;;
17,@lighthaos the last twooo I've been meaning to read for years 😔 finally got song of Achilles so I'll read it soon;;;;;;;
"18,""it has just occurred to me that my mum has seen my copy of song of achilles and i didn’t even notice that it has a review on the front of the book calling it ‘sexy, dangerous, mystical’ .... i don’t want to know what she thinks""";;;;;;;
"19,""#민규:";;;;;;;
;;;;;;;
📖 the song of achilles ;;;;;;;
✍️ madeline miller;;;;;;;
;;;;;;;
— We were like gods at the dawning of the world, &amp;" our joy was so bright we could see nothing else but the other. https://t.co/j2yhBjZvaR""";;;;;;
20,The Song of Achilles https://t.co/6BcxgVyiar;;;;;;;
